Subject,Grade,Standard,Prepared Graduate 1,Prepared Graduate 2,Prepared Graduate 3,Prepared Graduate 4,Prepared Graduate 5,Grade Level Expectation,GLE Code,Subheading,Statement
"Reading, Writing, and Communicating",Preschool,1. Oral Expression and Listening,"1. Collaborate effectively as group members or leaders who listen actively and respectfully; pose thoughtful questions, acknowledge the ideas of others; and contribute ideas to further the group's attainment of an objective.",,,,,2. Children use language to convey thoughts and feelings (Expressive Language).,RW.P.1.2,"By the end of the preschool experience (approximately 60 months/5 years old), students may:",Use increasingly complex and varied vocabulary.
"Reading, Writing, and Communicating",Preschool,1. Oral Expression and Listening,"1. Collaborate effectively as group members or leaders who listen actively and respectfully; pose thoughtful questions, acknowledge the ideas of others; and contribute ideas to further the group's attainment of an objective.",,,,,2. Children use language to convey thoughts and feelings (Expressive Language).,RW.P.1.2,"By the end of the preschool experience (approximately 60 months/5 years old), students may:",Understand the difference between a question and a statement.
"Reading, Writing, and Communicating",Preschool,1. Oral Expression and Listening,"1. Collaborate effectively as group members or leaders who listen actively and respectfully; pose thoughtful questions, acknowledge the ideas of others; and contribute ideas to further the group's attainment of an objective.",,,,,2. Children use language to convey thoughts and feelings (Expressive Language).,RW.P.1.2,"By the end of the preschool experience (approximately 60 months/5 years old), students may:",Practice asking questions and making statements.
"Reading, Writing, and Communicating",Preschool,1. Oral Expression and Listening,"1. Collaborate effectively as group members or leaders who listen actively and respectfully; pose thoughtful questions, acknowledge the ideas of others; and contribute ideas to further the group's attainment of an objective.",,,,,2. Children use language to convey thoughts and feelings (Expressive Language).,RW.P.1.2,"By the end of the preschool experience (approximately 60 months/5 years old), students may:",Speak in sentences of five or six words.
"Reading, Writing, and Communicating",Preschool,1. Oral Expression and Listening,"1. Collaborate effectively as group members or leaders who listen actively and respectfully; pose thoughtful questions, acknowledge the ideas of others; and contribute ideas to further the group's attainment of an objective.",,,,,2. Children use language to convey thoughts and feelings (Expressive Language).,RW.P.1.2,Supportive Teaching Practices/Adults May:,The classroom environment provides a variety of play centers that encourage children to interact and communicate with one another.
"Reading, Writing, and Communicating",Preschool,1. Oral Expression and Listening,"1. Collaborate effectively as group members or leaders who listen actively and respectfully; pose thoughtful questions, acknowledge the ideas of others; and contribute ideas to further the group's attainment of an objective.",,,,,2. Children use language to convey thoughts and feelings (Expressive Language).,RW.P.1.2,Supportive Teaching Practices/Adults May:,Child-initiated play time occurs at least 1/3 of the day to provide ample opportunity to practice using vocabulary and conversational skills.
"Reading, Writing, and Communicating",Preschool,1. Oral Expression and Listening,"1. Collaborate effectively as group members or leaders who listen actively and respectfully; pose thoughtful questions, acknowledge the ideas of others; and contribute ideas to further the group's attainment of an objective.",,,,,2. Children use language to convey thoughts and feelings (Expressive Language).,RW.P.1.2,Supportive Teaching Practices/Adults May:,"Talk with children frequently, encouraging them to share their experiences and ideas and listening attentively to their contributions."
"Reading, Writing, and Communicating",Preschool,1. Oral Expression and Listening,"1. Collaborate effectively as group members or leaders who listen actively and respectfully; pose thoughtful questions, acknowledge the ideas of others; and contribute ideas to further the group's attainment of an objective.",,,,,2. Children use language to convey thoughts and feelings (Expressive Language).,RW.P.1.2,Supportive Teaching Practices/Adults May:,"For children with limited expressive capabilities, use the language stimulation technique of expansion (e.g., Child: ""That a dog,"" Teacher: ""That's a brown dog with a long tail."")"
"Reading, Writing, and Communicating",Preschool,1. Oral Expression and Listening,"1. Collaborate effectively as group members or leaders who listen actively and respectfully; pose thoughtful questions, acknowledge the ideas of others; and contribute ideas to further the group's attainment of an objective.",,,,,2. Children use language to convey thoughts and feelings (Expressive Language).,RW.P.1.2,Supportive Teaching Practices/Adults May:,"Facilitate the use of words between children to express ideas, desires, feelings, and to resolve conflicts."
"Reading, Writing, and Communicating",Preschool,1. Oral Expression and Listening,"1. Collaborate effectively as group members or leaders who listen actively and respectfully; pose thoughtful questions, acknowledge the ideas of others; and contribute ideas to further the group's attainment of an objective.",,,,,2. Children use language to convey thoughts and feelings (Expressive Language).,RW.P.1.2,Supportive Teaching Practices/Adults May:,"Ask children questions, explaining how questions are different from statements, and allow children to practice asking questions to classroom visitors, on field trips, during read alouds, etc."
"Reading, Writing, and Communicating",Preschool,1. Oral Expression and Listening,"1. Collaborate effectively as group members or leaders who listen actively and respectfully; pose thoughtful questions, acknowledge the ideas of others; and contribute ideas to further the group's attainment of an objective.",,,,,2. Children use language to convey thoughts and feelings (Expressive Language).,RW.P.1.2,Examples of Learning/Children May:,"To create a graph, children are asked ""What kind of pet do you have?"" and they place a sticky note with their name beside the animal(s)."
"Reading, Writing, and Communicating",Preschool,1. Oral Expression and Listening,"1. Collaborate effectively as group members or leaders who listen actively and respectfully; pose thoughtful questions, acknowledge the ideas of others; and contribute ideas to further the group's attainment of an objective.",,,,,2. Children use language to convey thoughts and feelings (Expressive Language).,RW.P.1.2,Examples of Learning/Children May:,"Aaliyah approaches a group of children in the dramatic play center and asks, ""What're you playing?"" When they answer ""Spaceship,"" she asks, ""Can I play too?"" She then offers her ideas, ""I'm the princess."" The play continues for over 10 minutes."
"Reading, Writing, and Communicating",Preschool,1. Oral Expression and Listening,"1. Collaborate effectively as group members or leaders who listen actively and respectfully; pose thoughtful questions, acknowledge the ideas of others; and contribute ideas to further the group's attainment of an objective.",,,,,2. Children use language to convey thoughts and feelings (Expressive Language).,RW.P.1.2,Examples of Learning/Children May:,"When Max's dad visits the class to show how to make pots on a pottery wheel, the children have an opportunity to ask questions. The teaching staff reminds what a question is to help children along (""a question helps you find out things"")."
"Reading, Writing, and Communicating",Preschool,2. Reading for All Purposes,3. Read a wide range of literary texts to build knowledge and to better understand the human experience.,4. Read a wide range of informational texts to build knowledge and to better understand the human experience.,,,,1. Children understand and obtain meaning from stories and information from books and other texts.,RW.P.2.1,"By the end of the preschool experience (approximately 60 months/5 years old), students may:",Show interest in shared reading experiences and looking at books independently.
"Reading, Writing, and Communicating",Preschool,2. Reading for All Purposes,3. Read a wide range of literary texts to build knowledge and to better understand the human experience.,4. Read a wide range of informational texts to build knowledge and to better understand the human experience.,,,,1. Children understand and obtain meaning from stories and information from books and other texts.,RW.P.2.1,"By the end of the preschool experience (approximately 60 months/5 years old), students may:","Recognize how books are read, such as front-to-back and one page at a time, and recognize basic characteristics, such as title, author, and illustrator."
"Reading, Writing, and Communicating",Preschool,2. Reading for All Purposes,3. Read a wide range of literary texts to build knowledge and to better understand the human experience.,4. Read a wide range of informational texts to build knowledge and to better understand the human experience.,,,,1. Children understand and obtain meaning from stories and information from books and other texts.,RW.P.2.1,"By the end of the preschool experience (approximately 60 months/5 years old), students may:",Ask and answer questions and make comments about print materials.
"Reading, Writing, and Communicating",Preschool,2. Reading for All Purposes,3. Read a wide range of literary texts to build knowledge and to better understand the human experience.,4. Read a wide range of informational texts to build knowledge and to better understand the human experience.,,,,1. Children understand and obtain meaning from stories and information from books and other texts.,RW.P.2.1,"By the end of the preschool experience (approximately 60 months/5 years old), students may:","Demonstrate interest in different kinds of literature, such as fiction and nonfiction books and poetry, on a range of topics."
"Reading, Writing, and Communicating",Preschool,2. Reading for All Purposes,3. Read a wide range of literary texts to build knowledge and to better understand the human experience.,4. Read a wide range of informational texts to build knowledge and to better understand the human experience.,,,,1. Children understand and obtain meaning from stories and information from books and other texts.,RW.P.2.1,"By the end of the preschool experience (approximately 60 months/5 years old), students may:","Begin to identify key features of reality versus fantasy in stories, pictures, and events."
"Reading, Writing, and Communicating",Preschool,2. Reading for All Purposes,3. Read a wide range of literary texts to build knowledge and to better understand the human experience.,4. Read a wide range of informational texts to build knowledge and to better understand the human experience.,,,,1. Children understand and obtain meaning from stories and information from books and other texts.,RW.P.2.1,"By the end of the preschool experience (approximately 60 months/5 years old), students may:","Retell stories or information from books through conversation, artistic works, creative movement, or drama."
"Reading, Writing, and Communicating",Preschool,2. Reading for All Purposes,3. Read a wide range of literary texts to build knowledge and to better understand the human experience.,4. Read a wide range of informational texts to build knowledge and to better understand the human experience.,,,,1. Children understand and obtain meaning from stories and information from books and other texts.,RW.P.2.1,"By the end of the preschool experience (approximately 60 months/5 years old), students may:",Make predictions based on illustrations.
"Reading, Writing, and Communicating",Preschool,2. Reading for All Purposes,3. Read a wide range of literary texts to build knowledge and to better understand the human experience.,4. Read a wide range of informational texts to build knowledge and to better understand the human experience.,,,,1. Children understand and obtain meaning from stories and information from books and other texts.,RW.P.2.1,"By the end of the preschool experience (approximately 60 months/5 years old), students may:","Begin to identify key features of reality versus fantasy in stories, pictures, and events."
"Reading, Writing, and Communicating",Preschool,2. Reading for All Purposes,3. Read a wide range of literary texts to build knowledge and to better understand the human experience.,4. Read a wide range of informational texts to build knowledge and to better understand the human experience.,,,,1. Children understand and obtain meaning from stories and information from books and other texts.,RW.P.2.1,Supportive Teaching Practices/Adults May:,"The environment contains an ample number of quality, age-appropriate children's books."
"Reading, Writing, and Communicating",Preschool,2. Reading for All Purposes,3. Read a wide range of literary texts to build knowledge and to better understand the human experience.,4. Read a wide range of informational texts to build knowledge and to better understand the human experience.,,,,1. Children understand and obtain meaning from stories and information from books and other texts.,RW.P.2.1,Supportive Teaching Practices/Adults May:,Model how to use books while frequently reading with children individually and in small groups.
"Reading, Writing, and Communicating",Preschool,2. Reading for All Purposes,3. Read a wide range of literary texts to build knowledge and to better understand the human experience.,4. Read a wide range of informational texts to build knowledge and to better understand the human experience.,,,,1. Children understand and obtain meaning from stories and information from books and other texts.,RW.P.2.1,Supportive Teaching Practices/Adults May:,Engage the children in conversations and ask questions about what they have read.
"Reading, Writing, and Communicating",Preschool,2. Reading for All Purposes,3. Read a wide range of literary texts to build knowledge and to better understand the human experience.,4. Read a wide range of informational texts to build knowledge and to better understand the human experience.,,,,1. Children understand and obtain meaning from stories and information from books and other texts.,RW.P.2.1,Supportive Teaching Practices/Adults May:,"Provide dramatic play props that link to the stories that are read and are rotated on an ongoing basis such as furniture (for example: table, chair, crib, store dividers), clothes (for example: hats, shoes, material, costumes) and props (for example: dolls, dishes, cash register)."
"Reading, Writing, and Communicating",Preschool,2. Reading for All Purposes,3. Read a wide range of literary texts to build knowledge and to better understand the human experience.,4. Read a wide range of informational texts to build knowledge and to better understand the human experience.,,,,1. Children understand and obtain meaning from stories and information from books and other texts.,RW.P.2.1,Examples of Learning/Children May:,"While reading a book, Ms. Danae points to the cover of the book and names it, describes how she opens the book to read, and points out the title, author, and illustrator, explaining what the latter two do."
"Reading, Writing, and Communicating",Preschool,2. Reading for All Purposes,3. Read a wide range of literary texts to build knowledge and to better understand the human experience.,4. Read a wide range of informational texts to build knowledge and to better understand the human experience.,,,,1. Children understand and obtain meaning from stories and information from books and other texts.,RW.P.2.1,Examples of Learning/Children May:,"In writing centers, children create products in which they are named ""author and illustrator."""
"Reading, Writing, and Communicating",Preschool,2. Reading for All Purposes,3. Read a wide range of literary texts to build knowledge and to better understand the human experience.,4. Read a wide range of informational texts to build knowledge and to better understand the human experience.,,,,1. Children understand and obtain meaning from stories and information from books and other texts.,RW.P.2.1,Examples of Learning/Children May:,"Mrs. Nguyen reads the book, Tough Boris, to a child who sits in her lap, observing how she handles the book. She then asks, ""Why do you think Tough Boris cried when his parrot died?"" Then the child draws a picture of Tough Boris and his parrot to describe who the main characters were."
"Reading, Writing, and Communicating",Preschool,2. Reading for All Purposes,3. Read a wide range of literary texts to build knowledge and to better understand the human experience.,4. Read a wide range of informational texts to build knowledge and to better understand the human experience.,,,,1. Children understand and obtain meaning from stories and information from books and other texts.,RW.P.2.1,Examples of Learning/Children May:,"The children love a book called ""The Grocery Store."" Mr. Jay sets up a ""grocery store center"" that includes empty food boxes and cans, receipt pads, price tags, newspaper food ads, a cash register, and shopping lists."
"Reading, Writing, and Communicating",Preschool,2. Reading for All Purposes,3. Read a wide range of literary texts to build knowledge and to better understand the human experience.,4. Read a wide range of informational texts to build knowledge and to better understand the human experience.,,,,1. Children understand and obtain meaning from stories and information from books and other texts.,RW.P.2.1,Examples of Learning/Children May:,"Mrs. Ramos, the librarian, reads some poems from Robert Lewis Stevenson's ""Poems for the Very Young."" The children especially like ""I Have a Little Shadow."" They talk about the shadows they have seen. Later, their teacher provides them a chance to experiment with shadow puppets in the classroom, discovering how shadows are made."
"Reading, Writing, and Communicating",Preschool,2. Reading for All Purposes,"5. Understand how language functions in different contexts, command a variety of word-learning strategies to assist comprehension, and make effective choices for meaning or style when writing and speaking.",,,,,2. Phonological awareness is the building block for understanding language.,RW.P.2.2,"By the end of the preschool experience (approximately 60 months/5 years old), students may:",Identify and discriminate between words in language.
"Reading, Writing, and Communicating",Preschool,2. Reading for All Purposes,"5. Understand how language functions in different contexts, command a variety of word-learning strategies to assist comprehension, and make effective choices for meaning or style when writing and speaking.",,,,,2. Phonological awareness is the building block for understanding language.,RW.P.2.2,"By the end of the preschool experience (approximately 60 months/5 years old), students may:",Identify and discriminate between separate syllables in words.
"Reading, Writing, and Communicating",Preschool,2. Reading for All Purposes,"5. Understand how language functions in different contexts, command a variety of word-learning strategies to assist comprehension, and make effective choices for meaning or style when writing and speaking.",,,,,2. Phonological awareness is the building block for understanding language.,RW.P.2.2,"By the end of the preschool experience (approximately 60 months/5 years old), students may:","Identify and discriminate between sounds and phonemes in language, such as attention to beginning and ending sounds of words and recognition that different words begin or end with the same sound."
"Reading, Writing, and Communicating",Preschool,2. Reading for All Purposes,"5. Understand how language functions in different contexts, command a variety of word-learning strategies to assist comprehension, and make effective choices for meaning or style when writing and speaking.",,,,,2. Phonological awareness is the building block for understanding language.,RW.P.2.2,"By the end of the preschool experience (approximately 60 months/5 years old), students may:","Recognize patterns of sounds in songs, storytelling, and poetry through interactions and meaningful experiences."
"Reading, Writing, and Communicating",Preschool,2. Reading for All Purposes,"5. Understand how language functions in different contexts, command a variety of word-learning strategies to assist comprehension, and make effective choices for meaning or style when writing and speaking.",,,,,2. Phonological awareness is the building block for understanding language.,RW.P.2.2,Supportive Teaching Practices/Adults May:,Adults are aware of the developmental progression within the component skills of phonological awareness: Rhyming comes first; Then alliteration (matching and producing words to the same beginning sounds); Then blending (combining syllables and sounds); Finally segmenting (pulling words apart into syllables and sounds). (Paulson and Moats)
"Reading, Writing, and Communicating",Preschool,2. Reading for All Purposes,"5. Understand how language functions in different contexts, command a variety of word-learning strategies to assist comprehension, and make effective choices for meaning or style when writing and speaking.",,,,,2. Phonological awareness is the building block for understanding language.,RW.P.2.2,Supportive Teaching Practices/Adults May:,"Adults plan activities and interact so as to draw attention to the phonemes (the smallest unit of speech) in spoken words, following the developmental progression of: Words as a whole (elephant) and Syllables (e-le-phant). Adults promote syllable-sound awareness by clapping or tapping out the syllables of words or slowly ""sounding out"" word. Onset-Rime (p-ad, br-ick): Adults practice onset-rime activities blending beginning sounds with ending sounds to make words.). Phonemes (/b/ /ă/ /t/): Adults break down words into phonemes when reading and/or when a child asks how to spell a word. (Paulson and Moats)"
"Reading, Writing, and Communicating",Preschool,2. Reading for All Purposes,"5. Understand how language functions in different contexts, command a variety of word-learning strategies to assist comprehension, and make effective choices for meaning or style when writing and speaking.",,,,,2. Phonological awareness is the building block for understanding language.,RW.P.2.2,Examples of Learning/Children May:,"During small group time, Ms. Brown plays a rhyming game with older 4- and 5-year-olds. They generate rhymes together for words like star, ring, and frog. Her assistant, Mrs. Oldshield, plays a different rhyming game with the three-year-olds and younger fours in which they listen to her read familiar nursery rhymes and fill in the missing rhyme at the end of the last line."
"Reading, Writing, and Communicating",Preschool,2. Reading for All Purposes,"5. Understand how language functions in different contexts, command a variety of word-learning strategies to assist comprehension, and make effective choices for meaning or style when writing and speaking.",,,,,2. Phonological awareness is the building block for understanding language.,RW.P.2.2,Examples of Learning/Children May:,Kendra claps out the syllables of her name when it's her turn.
"Reading, Writing, and Communicating",Preschool,2. Reading for All Purposes,"5. Understand how language functions in different contexts, command a variety of word-learning strategies to assist comprehension, and make effective choices for meaning or style when writing and speaking.",,,,,2. Phonological awareness is the building block for understanding language.,RW.P.2.2,Examples of Learning/Children May:,"When pretending to be the teacher in a dramatic play, Kyle points to the words of the books while he ""reads"" the story."
"Reading, Writing, and Communicating",Preschool,2. Reading for All Purposes,"5. Understand how language functions in different contexts, command a variety of word-learning strategies to assist comprehension, and make effective choices for meaning or style when writing and speaking.",,,,,3. Print concepts and conventions anchor concepts of early decoding.,RW.P.2.3,"By the end of the preschool experience (approximately 60 months/5 years old), students may:","Recognize print in everyday life, such as numbers, letters, one's name, words, and familiar logos and signs."
"Reading, Writing, and Communicating",Preschool,2. Reading for All Purposes,"5. Understand how language functions in different contexts, command a variety of word-learning strategies to assist comprehension, and make effective choices for meaning or style when writing and speaking.",,,,,3. Print concepts and conventions anchor concepts of early decoding.,RW.P.2.3,"By the end of the preschool experience (approximately 60 months/5 years old), students may:",Understand that print conveys meaning.
"Reading, Writing, and Communicating",Preschool,2. Reading for All Purposes,"5. Understand how language functions in different contexts, command a variety of word-learning strategies to assist comprehension, and make effective choices for meaning or style when writing and speaking.",,,,,3. Print concepts and conventions anchor concepts of early decoding.,RW.P.2.3,"By the end of the preschool experience (approximately 60 months/5 years old), students may:","Understand conventions, such as print moves from left to right and top to bottom of a page."
"Reading, Writing, and Communicating",Preschool,2. Reading for All Purposes,"5. Understand how language functions in different contexts, command a variety of word-learning strategies to assist comprehension, and make effective choices for meaning or style when writing and speaking.",,,,,3. Print concepts and conventions anchor concepts of early decoding.,RW.P.2.3,"By the end of the preschool experience (approximately 60 months/5 years old), students may:",Recognize words as a unit of print and understand that letters are grouped to form words.
"Reading, Writing, and Communicating",Preschool,2. Reading for All Purposes,"5. Understand how language functions in different contexts, command a variety of word-learning strategies to assist comprehension, and make effective choices for meaning or style when writing and speaking.",,,,,3. Print concepts and conventions anchor concepts of early decoding.,RW.P.2.3,"By the end of the preschool experience (approximately 60 months/5 years old), students may:",Recognize the association between spoken or signed and written words.
"Reading, Writing, and Communicating",Preschool,2. Reading for All Purposes,"5. Understand how language functions in different contexts, command a variety of word-learning strategies to assist comprehension, and make effective choices for meaning or style when writing and speaking.",,,,,3. Print concepts and conventions anchor concepts of early decoding.,RW.P.2.3,Supportive Teaching Practices/Adults May:,"The classroom environment provides opportunities for children to interpret the meaning of words and symbols, including pictures of toys on the shelves, photos of children, and labels on materials and areas."
"Reading, Writing, and Communicating",Preschool,2. Reading for All Purposes,"5. Understand how language functions in different contexts, command a variety of word-learning strategies to assist comprehension, and make effective choices for meaning or style when writing and speaking.",,,,,3. Print concepts and conventions anchor concepts of early decoding.,RW.P.2.3,Supportive Teaching Practices/Adults May:,"Name labels include symbols at the beginning of the year; when children no longer need the symbols, they are removed."
"Reading, Writing, and Communicating",Preschool,2. Reading for All Purposes,"5. Understand how language functions in different contexts, command a variety of word-learning strategies to assist comprehension, and make effective choices for meaning or style when writing and speaking.",,,,,3. Print concepts and conventions anchor concepts of early decoding.,RW.P.2.3,Supportive Teaching Practices/Adults May:,"Point to words as you read them out loud, showing the sweep of print from left to right and top to bottom."
"Reading, Writing, and Communicating",Preschool,2. Reading for All Purposes,"5. Understand how language functions in different contexts, command a variety of word-learning strategies to assist comprehension, and make effective choices for meaning or style when writing and speaking.",,,,,3. Print concepts and conventions anchor concepts of early decoding.,RW.P.2.3,Supportive Teaching Practices/Adults May:,"Print daily messages, saying the words as they are written. (Example: Today is Monday, March 18, 2018, and we have a special project today.)"
"Reading, Writing, and Communicating",Preschool,2. Reading for All Purposes,"5. Understand how language functions in different contexts, command a variety of word-learning strategies to assist comprehension, and make effective choices for meaning or style when writing and speaking.",,,,,3. Print concepts and conventions anchor concepts of early decoding.,RW.P.2.3,Examples of Learning/Children May:,"At the beginning of the year, cubbies are labeled with the child's name and a symbol of a certain color. After the winter break, the labels only have the child's name. Hondo arrives in class, finds his cubby, and points to the label, saying, ""That's my name!"""
"Reading, Writing, and Communicating",Preschool,2. Reading for All Purposes,"5. Understand how language functions in different contexts, command a variety of word-learning strategies to assist comprehension, and make effective choices for meaning or style when writing and speaking.",,,,,3. Print concepts and conventions anchor concepts of early decoding.,RW.P.2.3,Examples of Learning/Children May:,"Mr. Bob calls children one at a time to wash hands. Before they go to the sink, they touch the letter on the wall that begins their names."
"Reading, Writing, and Communicating",Preschool,2. Reading for All Purposes,"5. Understand how language functions in different contexts, command a variety of word-learning strategies to assist comprehension, and make effective choices for meaning or style when writing and speaking.",,,,,3. Print concepts and conventions anchor concepts of early decoding.,RW.P.2.3,Examples of Learning/Children May:,"Zena goes to the visual schedule and points to the picture and label for the playground and announces, ""Hey, we go outside next!"""
"Reading, Writing, and Communicating",Preschool,2. Reading for All Purposes,"5. Understand how language functions in different contexts, command a variety of word-learning strategies to assist comprehension, and make effective choices for meaning or style when writing and speaking.",,,,,3. Print concepts and conventions anchor concepts of early decoding.,RW.P.2.3,Examples of Learning/Children May:,"In blocks, children create a castle village together. Miss Lupe brings them paper so they can draw pictures of it to use as building plans to build it again another day."
"Reading, Writing, and Communicating",Preschool,2. Reading for All Purposes,"5. Understand how language functions in different contexts, command a variety of word-learning strategies to assist comprehension, and make effective choices for meaning or style when writing and speaking.",,,,,3. Print concepts and conventions anchor concepts of early decoding.,RW.P.2.3,Examples of Learning/Children May:,"Terrence points to a picture of the McDonald's arches in writing center, and says ""I know what that is. That's McDonalds!"""
"Reading, Writing, and Communicating",Preschool,2. Reading for All Purposes,"5. Understand how language functions in different contexts, command a variety of word-learning strategies to assist comprehension, and make effective choices for meaning or style when writing and speaking.",,,,,4. The names and sounds associated with letters makes up alphabetic knowledge.,RW.P.2.4,"By the end of the preschool experience (approximately 60 months/5 years old), students may:",Recognize that the letters of the alphabet are a special category of visual graphics that can be individually named.
